"dia","Declinación Solar","Radiación Solar","Hora Solar "
"201.00","20.636286183179","4905.7766202218",""
"202.00","20.441513173734","4905.866432624",""
"203.00","20.24068290277","4905.9607886932",""
"204.00","20.033854880633","4906.0596604696",""
"205.00","19.821090394929","4906.1630186554",""
"206.00","19.602452492367","4906.2708326232",""
"207.00","19.378005960076","4906.3830704255",""
"208.00","19.147817306407","4906.4996988039",""
"209.00","18.911954741226","4906.6206831987",""
"210.00","18.670488155702","4906.7459877598",""
"211.00","18.423489101596","4906.8755753566",""
"212.00","18.171030770057","4907.0094075896",""
"213.00","17.913187969938","4907.1474448014",""
"214.00","17.650037105626","4907.2896460886",""
"215.00","17.3816561544","4907.4359693139",""
"216.00","17.108124643328","4907.5863711185",""
"217.00","16.829523625701","4907.7408069351",""
"218.00","16.545935657013","4907.8992310011",""
"219.00","16.2574447705","4908.061596372",""
"220.00","15.964136452236","4908.2278549355",""
"221.00","15.666097615807","4908.3979574255",""
"222.00","15.363416576553","4908.571853437",""
"223.00","15.056183025397","4908.7494914409",""
"224.00","14.744488002272","4908.9308187992",""
"225.00","14.42842386914","4909.1157817806",""
"226.00","14.108084282624","4909.3043255768",""
"227.00","13.783564166259","4909.4963943179",""
"228.00","13.454959682356","4909.6919310901",""
"229.00","13.122368203519","4909.8908779514",""
"230.00","12.785888283778","4910.0931759496",""
"231.00","12.445619629397","4910.2987651395",""
"232.00","12.101663069322","4910.5075846006",""
"233.00","11.754120525303","4910.7195724551",""
"234.00","11.403094981699","4910.9346658865",""
"235.00","11.048690454952","4911.1528011579",""
"236.00","10.691011962773","4911.3739136311",""
"237.00","10.330165493019","4911.5979377859",""
"238.00","9.9662579722861","4911.8248072389",""
"239.00","9.5993972342263","4912.0544547638",""
"240.00","9.2296919875941","4912.2868123112",""
"241.00","8.857251784033","4912.5218110284",""
"242.00","8.4821869856131","4912.7593812803",""
"243.00","8.1046087321287","4912.9994526698",""
"244.00","7.7246289081652","4913.2419540583",""
"245.00","7.3423601099452","4913.4868135877",""
"246.00","6.9579156119634","4913.7339587006",""
"247.00","6.5714093334216","4913.9833161627",""
"248.00","6.1829558044718","4914.234812084",""
"249.00","5.792670132278","4914.4883719407",""
"250.00","5.4006679669079","4914.7439205978",""
"251.00","5.0070654670632","4915.0013823304",""
"252.00","4.6119792656594","4915.2606808473",""
"253.00","4.2155264352645","4915.5217393126",""
"254.00","3.8178244534082","4915.7844803691",""
"255.00","3.418991167771","4916.048826161",""
"256.00","3.019144761263","4916.3146983568",""
"257.00","2.6184037170037","4916.5820181729",""
"258.00","2.2168867832133","4916.8507063967",""
"259.00","1.8147129380247","4917.1206834101",""
"260.00","1.4120013542279","4917.391869213",""
"261.00","1.0088713639563","4917.6641834473",""
"262.00","0.6054424233263","4917.9375454203",""
"263.00","0.20183407703975","4918.211874129",""
"264.00","-0.20183407703973","4918.4870882839",""
"265.00","-0.60544242332624","4918.7631063331",""
"266.00","-1.0088713639562","4919.0398464865",""
"267.00","-1.4120013542278","4919.31722674",""
"268.00","-1.8147129380247","4919.5951648998",""
"269.00","-2.2168867832133","4919.8735786069",""
"270.00","-2.6184037170037","4920.1523853613",""
"271.00","-3.019144761263","4920.4315025465",""
"272.00","-3.4189911677711","4920.7108474541",""
"273.00","-3.8178244534082","4920.9903373082",""
"274.00","-4.2155264352644","4921.2698892898",""
"275.00","-4.6119792656594","4921.5494205617",""
"276.00","-5.0070654670632","4921.8288482928",""
"277.00","-5.4006679669078","4922.1080896826",""
"278.00","-5.7926701322779","4922.3870619857",""
"279.00","-6.1829558044718","4922.6656825368",""
"280.00","-6.5714093334216","4922.9438687746",""
"281.00","-6.9579156119633","4923.2215382663",""
"282.00","-7.3423601099451","4923.4986087327",""
"283.00","-7.7246289081652","4923.7749980717",""
"284.00","-8.1046087321287","4924.0506243832",""
"285.00","-8.482186985613","4924.3254059931",""
"286.00","-8.8572517840329","4924.5992614779",""
"287.00","-9.2296919875941","4924.872109688",""
"288.00","-9.5993972342263","4925.1438697728",""
"289.00","-9.966257972286","4925.4144612039",""
"290.00","-10.330165493019","4925.6838037992",""
"291.00","-10.691011962773","4925.9518177467",""
"292.00","-11.048690454952","4926.218423628",""
"293.00","-11.403094981699","4926.483542442",""
"294.00","-11.754120525303","4926.7470956285",""
"295.00","-12.101663069322","4927.0090050907",""
"296.00","-12.445619629397","4927.2691932194",""
"297.00","-12.785888283778","4927.5275829152",""
"298.00","-13.122368203519","4927.7840976115",""
"299.00","-13.454959682356","4928.0386612977",""
"300.00","-13.783564166258","4928.2911985409",""
"301.00","-14.108084282624","4928.541634509",""
"302.00","-14.42842386914","4928.7898949923",""
"303.00","-14.744488002272","4929.0359064259",""
"304.00","-15.056183025397","4929.2795959113",""
"305.00","-15.363416576553","4929.5208912381",""
"306.00","-15.666097615807","4929.7597209052",""
"307.00","-15.964136452236","4929.9960141423",""
"308.00","-16.2574447705","4930.2297009306",""
"309.00","-16.545935657013","4930.4607120236",""
"310.00","-16.829523625701","4930.6889789678",""
"311.00","-17.108124643328","4930.9144341227",""
"312.00","-17.3816561544","4931.1370106811",""
